,Aesculus sylvatica,Cardamine angustata var  angustata,Claytonia virginica,Erythronium umbilicatum,Hepatica americana,Podophyllum peltatum,Sanguinaria canadensis,Stellaria pubera,Thalictrum thalictroides,Tiarella cordifolia,Trillium catesbaei,Uvularia sessilifolia,Viola papilionacea
Bombylius major,0,1,1,1,1,0,1,1,1,1,0,0,1,
Andrena erigeniae,0,1,1,0,0,0,0,1,1,0,0,0,0,
Andrena nigrihirta,0,1,1,1,1,0,0,1,0,0,0,1,0,
Andrena tridens,0,1,1,1,1,0,0,0,0,0,0,1,0,
Apis mellifera,0,1,1,1,1,0,1,0,0,1,0,0,0,
Nomada sp1 M_PL_025,0,1,1,1,1,0,0,1,1,0,0,0,0,
Bombus bimaculatus,1,1,0,0,1,1,1,0,0,1,1,0,0,
Gonia sp1 M_PL_025,0,1,1,0,1,0,0,1,1,0,0,0,0,
Halictid sp1 M_PL_025,0,0,1,0,1,0,0,0,1,0,0,0,0,
Dialictus abanci,0,0,1,1,1,0,0,1,1,0,0,1,0,
Hylema platura,0,0,1,0,1,0,0,0,0,0,0,0,0,
Osmia conjucta,0,1,1,1,0,0,0,1,0,1,0,0,1,
Nomada perplexa,0,1,1,1,0,0,0,1,0,0,0,0,0,
Andrena carlini,0,1,1,1,1,0,1,1,0,0,1,0,0,
Platycheirus obscurus,0,1,1,0,0,0,0,1,1,0,0,0,0,
Osmia sp1 M_PL_025,0,1,1,1,0,0,0,1,1,0,0,0,0,
Nomada pygmaea,0,1,1,0,0,0,0,1,0,0,0,0,0,
Andrena nasonii,0,1,1,0,0,0,0,1,0,0,0,0,0,
Evylaeus macoupinensis,0,0,1,0,1,0,0,0,1,1,0,1,0,
Osmia lignaria,0,1,1,1,0,0,0,0,0,0,0,0,0,
Augochlora pura,0,1,1,1,0,0,0,1,0,0,0,0,0,
Toxomerous geminatus,0,0,1,0,0,0,1,1,0,0,0,0,0,
Ceratina calcarata,0,0,1,0,0,0,0,1,1,0,0,0,0,
Dialictus cressonii,0,0,1,0,0,0,1,0,0,1,0,0,0,
Euchlo creusa lotta,0,1,1,0,0,0,0,0,0,0,0,0,0,
Xylocopa virginica virginica,0,1,1,1,0,1,1,0,0,0,1,0,0,
Osmia atriventris,0,0,0,0,0,0,0,1,0,0,0,0,1,
Andrena violae,0,0,0,0,0,0,0,0,0,0,0,0,1,
Bombus pennsylvanicus,1,1,0,0,0,0,0,0,0,0,0,0,0,
Ephemoropsis laboriosa,1,0,0,0,0,0,0,0,0,1,0,0,0,
Nomada luteola,0,0,0,0,0,0,0,1,0,0,0,0,0,
Andrena arabis,0,1,0,0,0,0,0,0,0,0,0,0,0,
Andrena ziziaeformis,0,0,1,0,0,0,0,0,0,0,0,1,0,
Augochorella striata,0,0,1,1,0,0,0,0,0,0,0,0,0,
Lycaenopsis argiolus,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp1 M_PL_025,0,1,0,0,0,0,0,0,0,0,0,0,0,
Andrena ceanothi,0,0,1,0,0,0,0,0,0,0,0,0,0,
Andrena dunningi,0,1,0,0,0,0,0,0,0,0,0,0,0,
Andrena imatrix,0,0,1,0,0,0,0,0,0,0,0,0,0,
Andrena personata,0,0,0,0,0,0,0,1,0,0,0,0,0,
Lassioglossum fuscipenne,0,1,0,0,0,0,0,0,0,0,0,0,0,
Nomada bishopii,0,0,0,0,0,0,0,1,0,0,0,0,0,
Nomada sayi,0,0,0,0,0,0,0,1,0,0,0,0,0,
Osmia simillima,0,0,0,0,0,0,0,0,0,0,0,0,1,
