,dracaena_concinna,polyscias_mauritiana,talipariti_tiliaceum,ipomoea_violacea,leucaena_leucocephala,morinda_citrifolia,passiflora_suberosa,pemphis_acidula,scaevola_taccada,stachytarpheta_jamaicensis,suriana_maritima,thespesia_populnea,tournefortia_argentea,turnera_ulmifolia,
Apis mellifera,0,1,1,1,1,1,1,1,1,1,0,1,1,1,
Phelsuma ornata,1,1,1,0,1,1,1,1,1,0,0,1,1,0,
Unidentified sp1 M_PL_011,0,1,0,0,1,0,0,1,0,1,0,1,0,1,
Leptotes pirithous,0,1,0,0,0,1,0,1,0,1,1,0,0,0,
Syrphid sp1 M_PL_011,1,0,0,0,0,0,0,0,0,1,0,0,1,0,
Unidentified sp2 M_PL_011,0,0,0,0,0,0,0,0,1,0,1,0,0,1,
Unidentified sp3 M_PL_011,0,0,0,0,0,0,0,0,0,1,0,1,0,1,
Xylocopa fenestrata,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
Phalantha phalantha,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
Unidentified sp4 M_PL_011,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
Lucilia sp1 M_PL_011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Ornidia obesa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Protaetia aurichalcea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
